\textbf{MTD Combination},$H_M(t_{max})$,$\hat{H}_M(t_{max})$,$Z_M$ ,\textbf{Rejected $H_0$}
"IPShuffle,PortShuffle",7.91,9.35,-2.44,False
"IPShuffle,ServiceShuffle",24.81,19.75,6.0,True
"IPShuffle,OSShuffle",26.35,19.02,6.3,True
"CompleteTopologyShuffle,IPShuffle",27.82,16.46,13.45,True
"OSShuffle,PortShuffle",28.63,23.86,3.2,True
"CompleteTopologyShuffle,PortShuffle",32.27,20.9,13.45,True
"PortShuffle,ServiceShuffle",33.63,24.3,6.74,True
"OSShuffle,ServiceShuffle",37.91,36.03,1.47,False
"HostTopologyShuffle,IPShuffle",39.62,25.29,15.26,True
"CompleteTopologyShuffle,OSShuffle",40.64,32.69,8.36,True
"HostTopologyShuffle,PortShuffle",41.75,29.75,10.26,True
"CompleteTopologyShuffle,ServiceShuffle",42.79,33.61,9.56,True
"CompleteTopologyShuffle,HostTopologyShuffle",45.77,39.14,5.52,True
"HostTopologyShuffle,OSShuffle",55.13,41.51,10.37,True
"HostTopologyShuffle,ServiceShuffle",55.78,42.53,10.59,True
